Time: [2025-12-29T17:42:33.382Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-29T17:43:10.476Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-29T17:43:11.607Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-29T17:43:14.022Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-29T17:45:54.313Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-29T17:49:00.897Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-29T17:49:01.210Z], Method: GET, URL: /favicon.ico, IP: ::1
Time: [2025-12-30T14:10:42.243Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:10:45.526Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:11:58.611Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:12:02.773Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:14:24.097Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:14:24.426Z], Method: GET, URL: /favicon.ico, IP: ::1
Time: [2025-12-30T14:14:34.377Z], Method: GET, URL: /.well-known/appspecific/com.chrome.devtools.json, IP: ::1
Time: [2025-12-30T14:14:36.643Z], Method: GET, URL: /.well-known/appspecific/com.chrome.devtools.json, IP: ::1
Time: [2025-12-30T14:14:47.396Z], Method: GET, URL: /?address=Atyrau, IP: ::1
Time: [2025-12-30T14:14:52.962Z], Method: GET, URL: /?address=Atyrau, IP: ::1
Time: [2025-12-30T14:20:38.560Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:20:45.845Z], Method: GET, URL: /?address=Atyrau, IP: ::1
Time: [2025-12-30T14:27:51.833Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:27:58.897Z], Method: GET, URL: /?address=London, IP: ::1
Time: [2025-12-30T14:30:05.097Z], Method: GET, URL: /?address=London, IP: ::1
Time: [2025-12-30T14:30:05.280Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:30:08.568Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:30:08.692Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:30:15.932Z], Method: GET, URL: /weather?address=London, IP: ::1
Time: [2025-12-30T14:30:26.431Z], Method: POST, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:30:32.368Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:30:32.532Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:30:37.462Z], Method: GET, URL: /weather?address=London, IP: ::1
Time: [2025-12-30T14:30:39.572Z], Method: POST, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:33:05.529Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:33:05.781Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:33:08.426Z], Method: GET, URL: /weather?address=London, IP: ::1
Time: [2025-12-30T14:33:09.945Z], Method: POST, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:33:10.666Z], Method: POST, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:33:10.819Z], Method: POST, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:33:21.338Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:33:21.499Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:33:22.046Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:33:22.171Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:33:57.208Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:33:57.443Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:34:00.165Z], Method: GET, URL: /weather?address=London, IP: ::1
Time: [2025-12-30T14:34:01.776Z], Method: POST, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:34:01.891Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:34:18.742Z], Method: GET, URL: /weather?address=Atyrau, IP: ::1
Time: [2025-12-30T14:34:21.072Z], Method: POST, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:34:21.181Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:34:24.985Z], Method: GET, URL: /weather?address=Astana, IP: ::1
Time: [2025-12-30T14:34:26.954Z], Method: POST, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:34:27.062Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:34:44.964Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:34:45.102Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:35:14.119Z], Method: GET, URL: /weather?address=Atyrau, IP: ::1
Time: [2025-12-30T14:36:23.228Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:36:23.426Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:36:25.833Z], Method: GET, URL: /weather?address=London, IP: ::1
Time: [2025-12-30T14:39:15.592Z], Method: GET, URL: /weather?address=London, IP: ::1
Time: [2025-12-30T14:40:19.317Z], Method: GET, URL: /weather?address=London, IP: ::1
Time: [2025-12-30T14:41:10.979Z], Method: GET, URL: /weather?address=London, IP: ::1
Time: [2025-12-30T14:42:34.164Z], Method: GET, URL: /weather?address=London, IP: ::1
Time: [2025-12-30T14:44:00.836Z], Method: GET, URL: /weather?address=London, IP: ::1
Time: [2025-12-30T14:45:25.614Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:47:01.659Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:47:01.890Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:51:21.693Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:51:21.809Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:04.895Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:54:05.037Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:06.632Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:54:08.535Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:54:08.790Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:54:08.928Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:54:09.074Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:54:09.941Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:54:10.079Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:54:10.786Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:54:12.209Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:54:12.831Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:54:13.474Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:54:14.065Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:14.070Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:14.652Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:14.657Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:15.607Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:15.612Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:16.176Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:16.183Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:55.164Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:54:55.412Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:57.253Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:57.265Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:54:59.247Z], Method: GET, URL: /weather/full?address=Atyrau, IP: ::1
Time: [2025-12-30T14:55:01.089Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:55:01.985Z], Method: GET, URL: /weather/full?address=Nur-Sultan, IP: ::1
Time: [2025-12-30T14:55:02.852Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:02.859Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:03.169Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:03.176Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:03.736Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:03.741Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:04.038Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:04.049Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:04.344Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:04.355Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:04.657Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:04.665Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:55:05.339Z], Method: PUT, URL: /api/weather, IP: ::1
